direction,k,rule,n,accuracy,auc_pos_fraction,sensitivity,specificity,precision,confusion
q2r,4,strict_majority,729,0.9122085048010974,0.9571819560772934,0.7704280155642024,0.989406779661017,0.9753694581280788,"[[467, 5], [59, 198]]"
q2r,4,tie_positive,729,0.9218106995884774,0.9571819560772934,0.8793774319066148,0.9449152542372882,0.8968253968253969,"[[446, 26], [31, 226]]"
q2r,6,strict_majority,729,0.9053497942386831,0.9728615709292356,0.7665369649805448,0.9809322033898306,0.9563106796116505,"[[463, 9], [60, 197]]"
q2r,6,tie_positive,729,0.9231824417009602,0.9728615709292356,0.8560311284046692,0.9597457627118644,0.9205020920502092,"[[453, 19], [37, 220]]"
q2r,8,strict_majority,729,0.9039780521262003,0.9727173052825958,0.7587548638132295,0.9830508474576272,0.9605911330049262,"[[464, 8], [62, 195]]"
q2r,8,tie_positive,729,0.9190672153635117,0.9727173052825958,0.8326848249027238,0.9661016949152542,0.9304347826086956,"[[456, 16], [43, 214]]"
q2r,10,strict_majority,729,0.8984910836762688,0.9775069247510388,0.7587548638132295,0.9745762711864406,0.9420289855072463,"[[460, 12], [62, 195]]"
q2r,10,tie_positive,729,0.9163237311385459,0.9775069247510388,0.8210116731517509,0.9682203389830508,0.9336283185840708,"[[457, 15], [46, 211]]"
r2q,4,strict_majority,729,0.9204389574759945,0.961262612939392,0.7821011673151751,0.9957627118644068,0.9901477832512315,"[[470, 2], [56, 201]]"
r2q,4,tie_positive,729,0.9272976680384087,0.961262612939392,0.8871595330739299,0.9491525423728814,0.9047619047619048,"[[448, 24], [29, 228]]"
r2q,6,strict_majority,729,0.9108367626886146,0.9703966893095035,0.7821011673151751,0.9809322033898306,0.9571428571428572,"[[463, 9], [56, 201]]"
r2q,6,tie_positive,729,0.9300411522633745,0.9703966893095035,0.8754863813229572,0.9597457627118644,0.9221311475409836,"[[453, 19], [32, 225]]"
r2q,8,strict_majority,729,0.9053497942386831,0.9734303897645586,0.77431906614786,0.9766949152542372,0.9476190476190476,"[[461, 11], [58, 199]]"
r2q,8,tie_positive,729,0.9272976680384087,0.9734303897645586,0.8560311284046692,0.9661016949152542,0.9322033898305084,"[[456, 16], [37, 220]]"
r2q,10,strict_majority,729,0.9039780521262003,0.9783436655015498,0.7626459143968871,0.9809322033898306,0.9560975609756097,"[[463, 9], [61, 196]]"
r2q,10,tie_positive,729,0.9245541838134431,0.9783436655015498,0.8443579766536965,0.9682203389830508,0.9353448275862069,"[[457, 15], [40, 217]]"
sym,4,strict_majority,729,0.9149519890260631,0.9575446811317021,0.7782101167315175,0.989406779661017,0.975609756097561,"[[467, 5], [57, 200]]"
sym,4,tie_positive,729,0.9218106995884774,0.9575446811317021,0.8715953307392996,0.9491525423728814,0.9032258064516129,"[[448, 24], [33, 224]]"
sym,6,strict_majority,729,0.9094650205761317,0.9674165732374861,0.7782101167315175,0.9809322033898306,0.9569377990430622,"[[463, 9], [57, 200]]"
sym,6,tie_positive,729,0.9245541838134431,0.9674165732374861,0.8599221789883269,0.9597457627118644,0.9208333333333333,"[[453, 19], [36, 221]]"
sym,8,strict_majority,729,0.9039780521262003,0.9755572775835917,0.7665369649805448,0.9788135593220338,0.9516908212560387,"[[462, 10], [60, 197]]"
sym,8,tie_positive,729,0.9272976680384087,0.9755572775835917,0.8560311284046692,0.9661016949152542,0.9322033898305084,"[[456, 16], [37, 220]]"
sym,10,strict_majority,729,0.8998628257887518,0.9742217898832686,0.7587548638132295,0.9766949152542372,0.9466019417475728,"[[461, 11], [62, 195]]"
sym,10,tie_positive,729,0.9218106995884774,0.9742217898832686,0.8404669260700389,0.9661016949152542,0.9310344827586207,"[[456, 16], [41, 216]]"
